,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-105,60,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-86,57,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-110,43,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-86,54,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-98,57,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-104,34,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-104,58,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-91,58,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-83,50,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-82,38,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-98,42,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-92,32,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-95,39,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-103,48,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-89,58,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-90,53,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-90,39,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-81,35,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-87,32,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-82,49,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-87,39,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-89,49,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-88,37,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-91,44,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-88,44,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-95,46,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
10,Dhruv Pande,College Gate,29.11'2''N / 79.44'15''E,Redmi,ME 17,AIRTEL,N/A,OCTA-CORE MAX,3 GB,-86,38,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-97,34,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,47,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-86,43,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-93,42,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-83,44,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-106,48,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-88,33,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-99,52,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-96,40,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-99,57,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-84,45,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-83,53,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-87,33,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-83,35,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-103,31,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-96,32,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-82,37,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-97,54,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-106,35,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-91,58,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-109,59,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-97,38,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-88,51,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-95,60,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-93,54,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-106,41,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-95,32,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
11,Garima Jalal,College Gate,29.11'2''N / 79.44'15''E,Samsung,SM M127 G/DS,JIO ,BSNL,OCTA-CORE MAX,4 GB,-86,31,-98,59,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-102,35,-84,53,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-98,32,-100,52,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-99,52,-91,40,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-102,53,-95,47,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-96,42,-99,31,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-107,31,-90,50,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-98,39,-100,45,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-93,35,-97,34,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-85,58,-103,49,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-87,49,-87,50,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-97,55,-84,42,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-104,45,-100,44,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-87,50,-109,49,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-94,49,-99,49,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-92,52,-106,31,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-90,55,-88,54,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-96,37,-99,41,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-98,54,-101,31,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-93,34,-105,44,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-108,45,-105,45,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-81,35,-97,42,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-108,33,-104,50,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-91,41,-82,38,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-84,49,-81,57,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-103,50,-81,53,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-82,31,-100,58,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-81,52,-83,57,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-81,54,-98,45,7700kbps,2600kbps
,,,,,,,,,,,,,,,
12,Harshit Joshi,College Gate,29.11'2''N / 79.44'15''E,Samsung,SM M127 G/DS,AIRTEL,JIO,OCTA-CORE,8 GB,-101,56,-90,50,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,Samsung,,,,,,-101,50,-104,53,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,Samsung,,,,,,-83,49,-98,40,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,Samsung,,,,,,-107,44,-87,49,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,Samsung,,,,,,-93,44,-97,54,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,Samsung,,,,,,-91,51,-85,45,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,Samsung,,,,,,-92,31,-105,53,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,Samsung,,,,,,-110,59,-97,35,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,Samsung,,,,,,-109,42,-106,32,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,Samsung,,,,,,-96,45,-98,55,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,Samsung,,,,,,-83,47,-89,53,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,Samsung,,,,,,-107,35,-92,31,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,Samsung,,,,,,-85,37,-97,42,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,Samsung,,,,,,-103,43,-90,54,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,Samsung,,,,,,-108,44,-89,52,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,Samsung,,,,,,-87,40,-95,49,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,Samsung,,,,,,-82,38,-96,58,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,Samsung,,,,,,-86,51,-90,50,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,Samsung,,,,,,-110,35,-96,49,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,Samsung,,,,,,-80,37,-110,57,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,Samsung,,,,,,-92,60,-93,44,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,Samsung,,,,,,-103,50,-98,46,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,Samsung,,,,,,-102,44,-110,34,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,Samsung,,,,,,-98,33,-96,53,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,Samsung,,,,,,-88,52,-90,56,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,Samsung,,,,,,-110,41,-100,48,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,Samsung,,,,,,-95,56,-93,60,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,Samsung,,,,,,-108,46,-80,37,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,Samsung,,,,,,-86,43,-104,51,7700kbps,2600kbps
,,,,,,,,,,,,,,,
13,Harshit Pandey,College Gate,29.11'2''N / 79.44'15''E,,SAMSUNG S20-FE 5G,JIO,N/A,OCTA-CORE,6 GB,-109,58,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,Samsung,,,,,,-104,56,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-85,55,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-82,44,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-84,33,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-81,39,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-90,37,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-84,40,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-103,44,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-90,42,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-96,39,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-81,37,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-99,47,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-85,55,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-107,52,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-94,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-87,46,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-93,45,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-80,57,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-96,42,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-95,51,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-87,30,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-104,30,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-106,53,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-85,48,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-104,30,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-90,55,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-110,49,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
14,Harshit Roy,College Gate,29.11'2''N / 79.44'15''E,Redmi,M1906G71,JIO,N/A,HELIO-G90T,6 GB,-95,38,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-101,47,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,50,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-82,46,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-84,51,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-80,48,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-105,31,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-90,58,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-88,30,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-98,52,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-82,41,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-89,56,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-104,42,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-89,42,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-100,53,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-98,38,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-93,33,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-92,39,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-82,49,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-86,57,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-95,35,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-94,38,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-94,46,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-93,43,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-90,38,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-104,47,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-87,43,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-81,54,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-96,53,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,Harshwardhan Pratap Singh,College Gate,29.11'2''N / 79.44'15''E,Motorola,XT2231-2,AIRTEL,N/A,MEDITEK HELIO G-40,4 GB,-81,34,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-97,46,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-110,54,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-106,56,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-90,34,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-82,30,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-88,39,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-83,54,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-93,46,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-94,45,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-97,41,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-109,50,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-102,57,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-102,45,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-97,43,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-101,45,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-85,52,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-97,45,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-101,37,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-92,47,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-94,43,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-83,53,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-107,47,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-108,57,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-92,54,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-96,53,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-91,47,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-109,52,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-96,44,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
16,Himanshu Bora,College Gate,29.11'2''N / 79.44'15''E,Redmi,M2101K7B1,JIO,N/A,MTK G95,6 GB,-93,32,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-98,42,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-91,33,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-83,59,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-95,59,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-84,41,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-96,59,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-80,47,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-104,54,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-94,40,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-94,58,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-91,42,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-108,33,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-91,48,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-80,58,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-83,45,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-81,36,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-105,33,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-81,54,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-88,58,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-94,50,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-110,43,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-100,46,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-89,44,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-107,55,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-92,51,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-107,60,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-92,43,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-80,36,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
17,Hridyashish Jina,College Gate,29.11'2''N / 79.44'15''E,Samsung,S20FE 5G,JIO,N/A,OCTA-CORE,6 GB,-87,41,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-101,35,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-83,57,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-87,47,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-107,58,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-102,30,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-92,43,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-104,48,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-88,36,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-98,43,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-92,41,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-98,49,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-108,45,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-96,35,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-99,47,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-84,46,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-103,42,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-102,49,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-80,36,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-110,58,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-80,41,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-86,34,,,7700kbps,2600kbps
