,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,End Point Of dart,29.20'22''N / 79.33'26''E,Redmi,,,,,,-103,41,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,Redmi,,,,,,-92,46,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,Redmi,,,,,,-109,55,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,Redmi,,,,,,-92,56,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,Redmi,,,,,,-96,45,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,Redmi,,,,,,-93,57,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
3,Anushka Joshi,College Gate,29.11'2''N / 79.44'15''E,Realme6Pro,RMX2061,JIO,N/A,Qualcomm Snapdragon 720G Octa-core,6GB,-96,51,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-82,47,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,33,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-81,38,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-91,53,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-102,52,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-100,34,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-104,47,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-83,58,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-104,31,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-109,45,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-80,30,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-104,34,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-104,53,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-100,60,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-81,31,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-96,39,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-104,46,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-82,36,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-97,36,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-83,39,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-109,57,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-87,53,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-98,54,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-89,59,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-102,33,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-82,56,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-99,42,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-97,50,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
4,Aryam Shrivastava,College Gate,29.11'2''N / 79.44'15''E,Xiaomi,M200J21,AIRTEL,N/A,Qualcomm Snapdragon 720G Octa-core,6 GB,-87,36,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,Xiaomi,,,,,,-90,35,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,Xiaomi,,,,,,-109,53,,,7700kbps,2600kbps
